0<= x < 30; y_0 = 50.0 + 0.6x; interpolation 
4590<= x < 4620; y_153 = -544.0 + 0.13333333333333333x; interpolation 
4620<= x < 4650; y_154 = 688.0 + -0.13333333333333333x; interpolation 
4650<= x < 4680; y_155 = -707.0 + 0.16666666666666666x; interpolation 
4680<= x < 4710; y_156 = 697.0 + -0.13333333333333333x; interpolation 
4710<= x < 4740; y_157 = -716.0 + 0.16666666666666666x; interpolation 
4740<= x < 4770; y_158 = 390.0 + -0.06666666666666667x; interpolation 
4770<= x < 4800; y_159 = 2775.0 + -0.5666666666666667x; interpolation 
4800<= x < 4830; y_160 = -2825.0 + 0.6x; interpolation 
4830<= x < 4860; y_161 = 2971.0 + -0.6x; interpolation 
4860<= x < 4890; y_162 = -2213.0 + 0.4666666666666667x; interpolation 
4890<= x < 4920; y_163 = 2351.0 + -0.4666666666666667x; interpolation 
4920<= x < 4950; y_164 = -2569.0 + 0.5333333333333333x; interpolation 
4950<= x < 4980; y_165 = 2711.0 + -0.5333333333333333x; interpolation 
4980<= x < 5010; y_166 = -941.0 + 0.2x; interpolation 
5010<= x < 5040; y_167 = -1609.0 + 0.3333333333333333x; interpolation 
5040<= x < 5070; y_168 = 1918.9999999999998 + -0.36666666666666664x; interpolation 
5070<= x < 5100; y_169 = -2137.0 + 0.43333333333333335x; interpolation 
5100<= x < 5130; y_170 = 1093.0 + -0.2x; interpolation 
5130<= x < 5160; y_171 = 2119.0 + -0.4x; interpolation 
5160<= x < 5190; y_172 = -3041.0 + 0.6x; interpolation 
5190<= x < 5220; y_173 = 3014.0 + -0.5666666666666667x; interpolation 
5220<= x < 5250; y_174 = 230.0 + -0.03333333333333333x; interpolation 
5250<= x < 5280; y_175 = 55.0 + 0.0x; interpolation 
5280<= x < 5310; y_176 = -825.0 + 0.16666666666666666x; interpolation 
5310<= x < 5340; y_177 = -2241.0 + 0.43333333333333335x; interpolation 
5340<= x < 5370; y_178 = 2030.9999999999998 + -0.36666666666666664x; interpolation 
5370<= x < 5400; y_179 = -1728.0 + 0.3333333333333333x; interpolation 
5400<= x < 5430; y_180 = 2052.0 + -0.36666666666666664x; interpolation 
5430<= x < 5460; y_181 = -1749.0 + 0.3333333333333333x; interpolation 
5460<= x < 5490; y_182 = 1527.0 + -0.26666666666666666x; interpolation 
5490<= x < 5520; y_183 = 1527.0 + -0.26666666666666666x; interpolation 
5520<= x < 5550; y_184 = -3257.0 + 0.6x; interpolation 
5550<= x < 5580; y_185 = 2848.0 + -0.5x; interpolation 
5580<= x < 5610; y_186 = -2360.0 + 0.43333333333333335x; interpolation 
5610<= x < 5640; y_187 = 3063.0 + -0.5333333333333333x; interpolation 
5640<= x < 5670; y_188 = -3329.0 + 0.6x; interpolation 
5670<= x < 5700; y_189 = 640.0 + -0.1x; interpolation 
5700<= x < 5730; y_190 = 3300.0 + -0.5666666666666667x; interpolation 
5730<= x < 5760; y_191 = -3957.9999999999995 + 0.7x; interpolation 
5760<= x < 5790; y_192 = 3722.0 + -0.6333333333333333x; interpolation 
5790<= x < 5820; y_193 = -3612.0 + 0.6333333333333333x; interpolation 
5820<= x < 5850; y_194 = 3954.0 + -0.6666666666666666x; interpolation 
5850<= x < 5880; y_195 = -3846.0 + 0.6666666666666666x; interpolation 
5880<= x < 5910; y_196 = 3994.0 + -0.6666666666666666x; interpolation 
5910<= x < 5940; y_197 = -3492.0 + 0.6x; interpolation 
5940<= x < 5970; y_198 = -126.0 + 0.03333333333333333x; interpolation 
5970<= x < 6000; y_199 = 471.0 + -0.06666666666666667x; interpolation 
6000<= x < 6030; y_200 = 3271.0 + -0.5333333333333333x; interpolation 
6030<= x < 6060; y_201 = -3563.0 + 0.6x; interpolation 
6060<= x < 6090; y_202 = 3911.0 + -0.6333333333333333x; interpolation 
6090<= x < 6120; y_203 = -3397.0 + 0.5666666666666667x; interpolation 
6120<= x < 6150; y_204 = 71.0 + 0.0x; interpolation 
6150<= x < 6180; y_205 = 71.0 + 0.0x; interpolation 
6180<= x < 6210; y_206 = -547.0 + 0.1x; interpolation 
6210<= x < 6240; y_207 = 4007.0 + -0.6333333333333333x; interpolation 
6240<= x < 6270; y_208 = -3481.0 + 0.5666666666666667x; interpolation 
6270<= x < 6300; y_209 = 3416.0 + -0.5333333333333333x; interpolation 
6300<= x < 6330; y_210 = -2884.0 + 0.4666666666666667x; interpolation 
6330<= x < 6360; y_211 = 3235.0 + -0.5x; interpolation 
6360<= x < 6390; y_212 = -3549.0 + 0.5666666666666667x; interpolation 
6390<= x < 6420; y_213 = -141.0 + 0.03333333333333333x; interpolation 
6420<= x < 6450; y_214 = 501.0 + -0.06666666666666667x; interpolation 
6450<= x < 6480; y_215 = 501.0 + -0.06666666666666667x; interpolation 
6480<= x < 6510; y_216 = 3093.0 + -0.4666666666666667x; interpolation 
6510<= x < 6540; y_217 = -3851.0 + 0.6x; interpolation 
6540<= x < 6570; y_218 = 3997.0 + -0.6x; interpolation 
6570<= x < 6600; y_219 = -3668.0 + 0.5666666666666667x; interpolation 
6600<= x < 6630; y_220 = 3812.0 + -0.5666666666666667x; interpolation 
6630<= x < 6660; y_221 = -166.0 + 0.03333333333333333x; interpolation 
6660<= x < 6690; y_222 = -3718.0 + 0.5666666666666667x; interpolation 
6690<= x < 6720; y_223 = 742.0 + -0.1x; interpolation 
6720<= x < 6750; y_224 = 3430.0 + -0.5x; interpolation 
6750<= x < 6780; y_225 = 280.0 + -0.03333333333333333x; interpolation 
6780<= x < 6810; y_226 = 5704.0 + -0.8333333333333334x; interpolation 
6810<= x < 6840; y_227 = 710.0 + -0.1x; interpolation 
6840<= x < 6870; y_228 = -9094.0 + 1.3333333333333333x; interpolation 
6870<= x < 6900; y_229 = -621.0 + 0.1x; interpolation 
6900<= x < 6930; y_230 = -621.0 + 0.1x; interpolation 
6930<= x < 6960; y_231 = 303.0 + -0.03333333333333333x; interpolation 
6960<= x < 6990; y_232 = 303.0 + -0.03333333333333333x; interpolation 
6990<= x < 7020; y_233 = 303.0 + -0.03333333333333333x; interpolation 
7020<= x < 7050; y_234 = 2175.0 + -0.3x; interpolation 
7050<= x < 7080; y_235 = -1350.0 + 0.2x; interpolation 
7080<= x < 7110; y_236 = -1586.0 + 0.23333333333333334x; interpolation 
7110<= x < 7140; y_237 = 3865.0 + -0.5333333333333333x; interpolation 
7140<= x < 7170; y_238 = -3989.0 + 0.5666666666666667x; interpolation 
7170<= x < 7200; y_239 = 791.0 + -0.1x; interpolation 
7200<= x < 7230; y_240 = 551.0 + -0.06666666666666667x; interpolation 
7230<= x < 7260; y_241 = -895.0 + 0.13333333333333333x; interpolation 
7260<= x < 7290; y_242 = 4429.0 + -0.6x; interpolation 
7290<= x < 7320; y_243 = -1403.0 + 0.2x; interpolation 
7320<= x < 7350; y_244 = 1525.0 + -0.2x; interpolation 
7350<= x < 7380; y_245 = -435.0 + 0.06666666666666667x; interpolation 
7380<= x < 7410; y_246 = -3141.0 + 0.43333333333333335x; interpolation 
7410<= x < 7440; y_247 = 3775.0 + -0.5x; interpolation 
7440<= x < 7470; y_248 = -4409.0 + 0.6x; interpolation 
7470<= x < 7500; y_249 = 820.0 + -0.1x; interpolation 
7500<= x < 7530; y_250 = 70.0 + 0.0x; interpolation 
7530<= x < 7560; y_251 = 70.0 + 0.0x; interpolation 
7560<= x < 7590; y_252 = 3850.0 + -0.5x; interpolation 
7590<= x < 7620; y_253 = -198.0 + 0.03333333333333333x; interpolation 
7620<= x < 7650; y_254 = -4262.0 + 0.5666666666666667x; interpolation 
7650<= x < 7680; y_255 = 583.0 + -0.06666666666666667x; interpolation 
7680<= x < 7710; y_256 = 71.0 + 0.0x; interpolation 
7710<= x < 7740; y_257 = -443.0 + 0.06666666666666667x; interpolation 
7740<= x < 7770; y_258 = 4975.0 + -0.6333333333333333x; interpolation 
